scaffold,model,resolve_rate_pct,EuTB,EuCB,avg_tokens_k,fail_cost_ratio,scaffold_type,model_cap_tier,benchmark,source,source_url,notes
OpenHands,GPT-4o-mini,18,0.058,0.089,420,3.8,agentic,1,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
OpenHands,Llama-3.3-70B,26,0.091,0.11,580,3.2,agentic,2,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
OpenHands,Qwen3-32B,34,0.142,0.168,510,2.9,agentic,3,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
SWE-Agent,GPT-4o-mini,14,0.051,0.072,380,4.3,agentic,1,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
SWE-Agent,Llama-3.3-70B,22,0.08,0.098,440,3.5,agentic,2,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
SWE-Agent,Qwen3-32B,30,0.218,0.201,390,2.7,agentic,3,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
AutoCodeRover,GPT-4o-mini,20,0.073,0.095,290,2.8,procedural,1,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
AutoCodeRover,Llama-3.3-70B,28,0.105,0.131,340,2.5,procedural,2,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
AutoCodeRover,Qwen3-32B,36,0.178,0.195,310,2.3,procedural,3,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless,GPT-4o-mini,22,0.088,0.112,180,2.1,procedural,1,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless,Llama-3.3-70B,30,0.121,0.144,220,1.9,procedural,2,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless,Qwen3-32B,38,0.195,0.22,200,1.7,procedural,3,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless-Mini,GPT-4o-mini,16,0.07,0.092,120,1.8,procedural,1,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless-Mini,Llama-3.3-70B,24,0.108,0.128,145,1.6,procedural,2,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
Agentless-Mini,Qwen3-32B,32,0.182,0.21,130,1.5,procedural,3,SWE-bench Verified (50-task stratified subset),SWE-Effi paper,https://arxiv.org/abs/2509.09853,"EuTB = Effectiveness under Token Budget (AUC, 0-1, capped at 2M tokens). EuCB = Effectiveness under Cost Budget (AUC, 0-1, capped at $1). fail_cost_ratio = avg tokens on failed task / avg tokens on successful task. SWE-Agent+GPT-4o-mini EuTB=5.1% explicitly stated in paper abstract."
